#Table: J/A+A/437/883/catalog.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------
           | R  R          D  D      |     |    |        | Cl|                 |
CDFS_00452 |03 32 31.567 -27 44 54.47|19.10|2.45|0.000  1|0  |speCDF_00452.fits|FITS file
CDFS_00455 |03 32 11.029 -27 44 56.05|18.62|3.47|0.832  1|2  |speCDF_00455.fits|FITS file
CDFS_00458 |03 32 36.306 -27 44 59.55|17.07|3.34|0.000  1|0  |speCDF_00458.fits|FITS file
CDFS_00462 |03 32 25.762 -27 44 59.28|19.60|3.04|0.833  1|2  |speCDF_00462.fits|FITS file
CDFS_00463 |03 32 30.541 -27 44 59.49|18.35|0.94|0.000  1|0  |speCDF_00463.fits|FITS file
CDFS_00467 |03 32 32.050 -27 44 51.78|18.27|4.63|0.895  1|1  |speCDF_00467.fits|FITS file
CDFS_00468 |03 32 36.665 -27 45 01.86|19.83|5.03|1.019  1|1  |speCDF_00468.fits|FITS file
CDFS_00471 |03 32 30.225 -27 45 04.62|19.09|3.00|0.738  1|4  |speCDF_00471.fits|FITS file
CDFS_00472 |03 32 15.347 -27 45 06.96|19.58|2.96|0.861  1|2  |speCDF_00472.fits|FITS file
CDFS_00473 |03 32 08.660 -27 45 01.80|17.91|4.41|0.873  1|1  |speCDF_00473.fits|FITS file
CDFS_00475 |03 32 13.598 -27 45 05.36|19.72|4.15|0.733  1|2  |speCDF_00475.fits|FITS file
CDFS_00477 |03 32 25.873 -27 45 06.95|19.00|3.02|0.346  1|2  |speCDF_00477.fits|FITS file
CDFS_00480 |03 32 20.625 -27 45 07.12|17.93|2.50|0.324  1|2  |speCDF_00480.fits|FITS file
CDFS_00483 |03 32 29.712 -27 45 07.22|19.91|2.76|0.737  1|2  |speCDF_00483.fits|FITS file
CDFS_00484 |03 32 08.696 -27 45 07.98|18.63|5.33|1.294  1|2  |speCDF_00484.fits|FITS file
CDFS_00485 |03 32 34.903 -27 45 01.89|19.76|2.77|0.665  1|2  |speCDF_00485.fits|FITS file
CDFS_00487 |03 32 10.471 -27 45 05.32|14.51|1.43|-      -|0  |                 |NOT OBSERVED
CDFS_00495 |03 32 32.924 -27 45 15.02|19.29|3.98|0.765  1|2  |speCDF_00495.fits|FITS file
CDFS_00501 |03 32 19.321 -27 45 14.02|19.28|3.17|0.725  1|2  |speCDF_00501.fits|FITS file
CDFS_00503 |03 32 33.842 -27 45 18.11|19.77|5.10|     I-1|-  |speCDF_00503.fits|FITS file
CDFS_00504 |03 32 30.580 -27 45 18.27|17.53|3.22|0.681  1|2  |speCDF_00504.fits|FITS file
CDFS_00505 |03 32 29.862 -27 45 20.68|17.87|4.45|0.954  1|2  |speCDF_00505.fits|FITS file
CDFS_00506 |03 32 12.295 -27 45 13.04|18.59|3.22|0.644  1|2  |speCDF_00506.fits|FITS file
CDFS_00507 |03 32 30.353 -27 45 23.57|18.01|5.18|1.223  1|2  |speCDF_00507.fits|FITS file
CDFS_00509 |03 32 20.311 -27 45 54.86|17.90|2.57|0.231  1|2  |speCDF_00509.fits|FITS file
CDFS_00514 |03 32 26.355 -27 45 15.28|19.80|5.64|1.307  1|1.5|speCDF_00514.fits|FITS file
CDFS_00515 |03 32 23.088 -27 45 09.05|19.66|4.58|0.995  1|2  |speCDF_00515.fits|FITS file
CDFS_00518 |03 32 29.984 -27 45 29.89|18.11|2.83|1.215  1|4  |speCDF_00518.fits|FITS file
CDFS_00519 |03 32 30.065 -27 45 23.57|18.17|4.07|0.949  1|4  |speCDF_00519.fits|FITS file
CDFS_00520 |03 32 25.252 -27 45 23.91|18.91|2.54|0.664  1|2  |speCDF_00520.fits|FITS file
CDFS_00522 |03 32 29.125 -27 45 21.14|19.94|4.38|2.226  1|-  |speCDF_00522.fits|FITS file
CDFS_00524 |03 32 13.813 -27 45 25.58|18.44|5.37|1.327  1|3  |speCDF_00524.fits|FITS file
CDFS_00525 |03 32 12.473 -27 45 30.34|19.58|3.74|1.375  1|2  |speCDF_00525.fits|FITS file
CDFS_00528 |03 32 23.607 -27 46 01.02|18.94|5.44|1.030  1|3  |speCDF_00528.fits|FITS file
CDFS_00531 |03 32 18.431 -27 45 36.61|16.86|3.79|0.523  1|1  |speCDF_00531.fits|FITS file
CDFS_00532 |03 32 11.210 -27 45 33.37|18.70|5.22|1.215  1|1  |speCDF_00532.fits|FITS file
CDFS_00533 |03 32 26.859 -27 45 28.19|18.29|4.77|0.831  1|2  |speCDF_00533.fits|FITS file
CDFS_00535 |03 32 19.946 -27 45 33.73|15.43|2.73|0.000  1|0  |speCDF_00535.fits|FITS file
CDFS_00538 |03 32 12.303 -27 45 27.39|18.58|4.08|0.680  1|1  |speCDF_00538.fits|FITS file
CDFS_00539 |03 32 20.374 -27 45 36.96|18.83|2.58|0.420  1|2  |speCDF_00539.fits|FITS file
CDFS_00541 |03 32 31.227 -27 45 32.68|19.15|5.10|1.097  1|-  |speCDF_00541.fits|ESO/GOODS
CDFS_00542 |03 32 17.491 -27 45 28.27|19.22|3.78|1.039  1|2  |speCDF_00542.fits|FITS file
CDFS_00544 |03 32 13.927 -27 45 37.27|19.41|3.73|0.840  1|2  |speCDF_00544.fits|FITS file
CDFS_00545 |03 32 15.516 -27 45 36.31|18.38|5.25|0.974  1|3  |speCDF_00545.fits|FITS file
CDFS_00546 |03 32 18.844 -27 45 29.16|15.77|3.40|0.296  1|1  |speCDF_00546.fits|FITS file
CDFS_00547 |03 32 26.288 -27 45 36.17|18.61|5.07|1.222  1|3  |speCDF_00547.fits|FITS file
CDFS_00548 |03 32 30.070 -27 45 34.25|19.01|2.81|0.647  1|2  |speCDF_00548.fits|FITS file
CDFS_00549 |03 32 12.189 -27 45 29.99|17.55|4.01|0.676  1|1.5|speCDF_00549.fits|FITS file
CDFS_00550 |03 32 31.088 -27 45 37.09|18.65|2.60|0.523  1|1.5|speCDF_00550.fits|FITS file
CDFS_00553 |03 32 36.367 -27 45 43.24|18.34|4.03|0.426  1|2  |speCDF_00553.fits|FITS file
CDFS_00556 |03 32 09.775 -27 45 29.30|19.72|2.94|0.609  1|2  |speCDF_00556.fits|FITS file
CDFS_00557 |03 32 32.733 -27 45 38.77|18.88|3.18|0.367  1|1  |speCDF_00557.fits|FITS file
CDFS_00558 |03 32 29.828 -27 45 10.81|19.79|5.45|1.221  1|1.5|speCDF_00558.fits|FITS file
CDFS_00563 |03 32 33.021 -27 45 47.38|17.30|4.82|-      -|-  |                 |NOT OBSERVED
CDFS_00564 |03 32 32.961 -27 45 41.54|17.97|4.37|0.523  1|1.5|speCDF_00564.fits|FITS file
CDFS_00566 |03 32 09.947 -27 45 34.93|16.81|2.88|0.000  1|0  |speCDF_00566.fits|FITS file
CDFS_00567 |03 32 17.736 -27 45 47.76|19.40|2.75|0.735  1|2  |speCDF_00567.fits|FITS file
CDFS_00569 |03 32 32.186 -27 45 34.89|17.20|3.99|0.332  1|2  |speCDF_00569.fits|FITS file
CDFS_00570 |03 32 31.946 -27 45 31.30|19.74|1.35|0.000  1|0  |speCDF_00570.fits|FITS file
CDFS_00571 |03 32 32.715 -27 45 47.40|17.54|4.79|0.955  1|1  |speCDF_00571.fits|FITS file
CDFS_00574 |03 32 22.628 -27 45 46.63|19.69|4.83|0.840  1|2  |speCDF_00574.fits|FITS file
CDFS_00579 |03 32 14.420 -27 45 40.74|17.20|4.11|0.289  1|1.5|speCDF_00579.fits|FITS file
CDFS_00580 |03 32 34.180 -27 45 54.05|18.12|2.49|0.365  1|2  |speCDF_00580.fits|FITS file
CDFS_00582 |03 32 12.205 -27 45 54.38|19.20|3.28|1.038  1|2  |speCDF_00582.fits|FITS file
CDFS_00585 |03 32 18.436 -27 45 56.01|17.51|4.59|0.738  1|1  |speCDF_00585.fits|FITS file
CDFS_00586 |03 32 36.196 -27 45 36.52|19.37|3.42|0.562  1|2  |speCDF_00586.fits|FITS file
CDFS_00587 |03 32 23.085 -27 45 58.10|19.99|3.36|1.727  1|-  |speCDF_00587.fits|FITS file
CDFS_00590 |03 32 26.267 -27 45 50.78|19.07|5.28|1.222  1|1  |speCDF_00590.fits|FITS file
CDFS_00594 |03 32 19.031 -27 45 53.05|19.98|4.81|0.733  1|1.5|speCDF_00594.fits|FITS file
CDFS_00596 |03 32 11.519 -27 46 13.52|19.19|3.68|1.039  1|2  |speCDF_00596.fits|FITS file
CDFS_00600 |03 32 07.899 -27 46 00.52|19.00|2.24|0.312  1|2  |speCDF_00600.fits|FITS file
CDFS_00601 |03 32 37.307 -27 45 57.97|19.66|4.53|1.096  1|2  |speCDF_00601.fits|FITS file
CDFS_00602 |03 32 36.331 -27 46 00.12|19.85|4.23|0.895  1|2  |speCDF_00602.fits|FITS file
CDFS_00603 |03 32 11.607 -27 45 54.12|18.17|5.16|1.039  1|1  |speCDF_00603.fits|FITS file
CDFS_00604 |03 32 17.583 -27 45 51.76|19.52|5.70|     I-1|-  |speCDF_00604.fits|FITS file
CDFS_00606 |03 32 23.148 -27 45 54.60|19.09|4.49|1.223  1|2  |speCDF_00606.fits|FITS file
CDFS_00608 |03 32 27.583 -27 46 03.56|17.09|4.65|0.670  1|1  |speCDF_00608.fits|FITS file
CDFS_00609 |03 32 29.552 -27 46 00.37|19.83|2.52|0.332  1|4  |speCDF_00609.fits|FITS file
CDFS_00614 |03 32 22.339 -27 45 59.66|19.01|3.83|0.729  1|2  |speCDF_00614.fits|FITS file
CDFS_00615 |03 32 33.018 -27 46 08.76|18.53|3.55|0.368  1|1.5|speCDF_00615.fits|FITS file
CDFS_00616 |03 32 33.197 -27 45 58.84|19.95|4.18|0.000  1|0  |speCDF_00616.fits|FITS file
CDFS_00620 |03 32 15.754 -27 46 04.64|19.74|3.88|1.538  0|-  |speCDF_00620.fits|FITS file
CDFS_00623 |03 32 32.821 -27 46 07.71|16.78|4.28|0.366  1|2  |speCDF_00623.fits|FITS file
CDFS_00631 |03 32 29.243 -27 46 11.54|19.04|4.15|0.533  1|3  |speCDF_00631.fits|FITS file
CDFS_00633 |03 32 37.199 -27 46 08.17|16.94|5.49|1.096  1|1  |speCDF_00633.fits|FITS file
CDFS_00635 |03 32 19.782 -27 46 10.04|19.68|4.87|1.223  0|-  |speCDF_00635.fits|FITS file
CDFS_00636 |03 32 19.541 -27 46 16.31|19.83|2.87|0.742  1|2  |speCDF_00636.fits|FITS file
CDFS_00637 |03 32 25.068 -27 46 06.01|19.78|2.42|0.523  1|2  |speCDF_00637.fits|FITS file
CDFS_00638 |03 32 22.238 -27 45 50.27|19.91|2.77|0.726  1|2  |speCDF_00638.fits|FITS file
CDFS_00640 |03 32 36.609 -27 46 10.26|19.69|2.74|0.338  1|2  |speCDF_00640.fits|FITS file
CDFS_00644 |03 32 23.127 -27 46 12.33|18.07|5.08|0.726  1|1  |speCDF_00644.fits|FITS file
CDFS_00646 |03 32 33.846 -27 46 00.21|19.07|5.99|1.903  1|-  |speCDF_00646.fits|FITS file
CDFS_00647 |03 32 35.647 -27 46 12.45|19.98|2.85|0.000  1|0  |speCDF_00647.fits|FITS file
CDFS_00648 |03 32 07.831 -27 46 16.94|19.99|2.48|0.898  1|2  |speCDF_00648.fits|FITS file
CDFS_00650 |03 32 27.342 -27 46 03.51|18.70|4.39|0.668  1|1.5|speCDF_00650.fits|FITS file
CDFS_00653 |03 32 24.599 -27 46 20.26|18.88|5.27|     I-1|-  |speCDF_00653.fits|FITS file
CDFS_00654 |03 32 36.145 -27 46 17.89|19.19|2.13|0.218  1|2  |speCDF_00654.fits|FITS file
CDFS_00660 |03 32 28.820 -27 48 29.63|19.89|6.13|-      -|-  |                 |NOT OBSERVED
CDFS_00661 |03 32 10.713 -27 48 19.53|19.52|6.82|-      -|-  |                 |NOT OBSERVED
CDFS_00662 |03 32 25.702 -27 48 16.99|19.43|6.09|-      -|-  |                 |NOT OBSERVED
CDFS_00669 |03 32 16.016 -27 47 49.87|18.83|5.13|1.297  1|-  |speCDF_00669.fits|ESO/GOODS
CDFS_00670 |03 32 18.175 -27 47 46.51|20.00|6.29|-      -|-  |                 |NOT OBSERVED
CDFS_00682 |03 32 34.438 -27 46 59.49|19.89|6.38|     I-1|-  |speCDF_00682.fits|FITS file
CDFS_00686 |03 32 08.510 -27 44 18.34|19.15|2.69|0.000  1|0  |speCDF_00686.fits|FITS file
CDFS_00689 |03 32 23.123 -27 44 42.22|19.75|6.18|-      -|-  |                 |NOT OBSERVED
CDFS_00693 |03 32 11.000 -27 44 59.36|19.73|3.74|1.553  1|2  |speCDF_00693.fits|FITS file
CDFS_00697 |03 32 21.400 -27 45 36.18|19.11|6.85|-      -|-  |                 |NOT OBSERVED
CDFS_01043 |03 32 17.770 -27 48 23.99|19.98|2.17|0.116  1|2  |speCDF_01043.fits|FITS file
CDFS_01052 |03 32 25.736 -27 48 20.57|19.89|2.24|0.284  1|2  |speCDF_01052.fits|FITS file
CDFS_02170 |03 32 14.323 -27 47 21.13|19.80|4.33|0.737  1|1  |speCDF_02170.fits|FITS file
CDFS_02229 |03 32 35.544 -27 46 25.53|19.72|4.06|1.087  1|3  |speCDF_02229.fits|FITS file
CDFS_02281 |03 32 08.379 -27 46 51.22|18.75|4.81|1.277  0|-  |speCDF_02281.fits|FITS file
CDFS_02333 |03 32 29.722 -27 44 10.75|18.42|3.93|     I-1|-  |speCDF_02333.fits|FITS file
CDFS_02563 |03 32 32.966 -27 45 45.63|17.56|3.53|0.366  1|1  |speCDF_02563.fits|FITS file
q0055_00013|00 57 55.246 -26 40 57.92|18.83|3.69|1.982  1|4  |speQ00_00013.fits|FITS file
q0055_00017|00 57 58.218 -26 40 59.18|19.68|4.16|1.128  1|2  |speQ00_00017.fits|FITS file
q0055_00018|00 58 02.880 -26 41 01.06|16.16|3.00|0.200  1|2  |speQ00_00018.fits|FITS file
q0055_00019|00 58 06.657 -26 40 59.32|18.98|3.99|0.932  0|-  |speQ00_00019.fits|FITS file
q0055_00021|00 57 51.516 -26 41 03.22|18.54|4.36|0.753  1|1  |speQ00_00021.fits|FITS file
q0055_00022|00 57 59.509 -26 41 04.21|19.19|3.01|0.679  1|2  |speQ00_00022.fits|FITS file
q0055_00023|00 57 56.800 -26 41 04.73|19.87|3.19|1.436  1|2  |speQ00_00023.fits|FITS file
q0055_00024|00 57 54.719 -26 41 07.51|19.94|2.39|1.374  1|2  |speQ00_00024.fits|FITS file
q0055_00025|00 57 54.499 -26 41 09.32|18.46|3.64|0.823  1|2  |speQ00_00025.fits|FITS file
q0055_00026|00 57 52.065 -26 41 13.80|17.25|4.34|0.794  1|3  |speQ00_00026.fits|FITS file
q0055_00028|00 57 50.333 -26 41 09.29|19.10|5.09|1.050  1|1  |speQ00_00028.fits|FITS file
q0055_00029|00 57 53.405 -26 41 14.90|19.86|2.64|0.416  1|2  |speQ00_00029.fits|FITS file
q0055_00030|00 57 56.601 -26 41 14.66|19.50|3.62|0.565  1|2  |speQ00_00030.fits|FITS file
q0055_00031|00 58 06.350 -26 41 15.63|17.98|4.80|0.679  1|1.5|speQ00_00031.fits|FITS file
q0055_00033|00 57 56.171 -26 41 15.73|18.98|5.47|0.820  1|2  |speQ00_00033.fits|FITS file
q0055_00034|00 58 02.447 -26 41 16.12|18.59|4.34|1.129  1|2  |speQ00_00034.fits|FITS file
q0055_00035|00 58 03.507 -26 41 15.89|18.84|3.61|0.668  1|2  |speQ00_00035.fits|FITS file
q0055_00036|00 57 51.544 -26 41 16.75|19.53|3.52|0.925  1|2  |speQ00_00036.fits|FITS file
q0055_00038|00 58 04.790 -26 41 18.90|18.57|4.32|0.805  1|3  |speQ00_00038.fits|FITS file
q0055_00039|00 57 56.361 -26 41 18.92|18.67|3.78|0.561  1|1.5|speQ00_00039.fits|FITS file
q0055_00040|00 57 57.748 -26 41 19.07|18.55|5.47|1.210  1|1.5|speQ00_00040.fits|FITS file
q0055_00041|00 58 01.231 -26 41 19.98|18.70|4.66|0.921  1|1.5|speQ00_00041.fits|FITS file
q0055_00043|00 57 51.685 -26 41 22.30|19.20|2.68|0.580  1|2  |speQ00_00043.fits|FITS file
q0055_00045|00 58 00.764 -26 41 24.18|18.99|6.87|-      -|-  |                 |NOT OBSERVED
q0055_00046|00 57 49.190 -26 41 27.01|16.61|4.35|0.565  1|1  |speQ00_00046.fits|FITS file
q0055_00047|00 57 57.074 -26 41 30.03|14.64|3.55|0.266  1|1  |speQ00_00047.fits|FITS file
q0055_00049|00 57 54.200 -26 41 27.79|16.63|3.81|0.265  1|1.5|speQ00_00049.fits|FITS file
q0055_00050|00 58 05.671 -26 41 26.96|19.25|4.41|1.002  1|2  |speQ00_00050.fits|FITS file
q0055_00052|00 58 07.025 -26 41 27.04|18.99|2.89|2.175  1|-  |speQ00_00052.fits|FITS file
q0055_00053|00 58 07.960 -26 41 27.98|19.53|4.95|     I-1|-  |speQ00_00053.fits|FITS file
q0055_00056|00 58 01.435 -26 41 31.96|17.72|3.13|0.431  1|2  |speQ00_00056.fits|FITS file
q0055_00059|00 58 04.129 -26 41 34.42|19.25|4.72|     I-1|-  |speQ00_00059.fits|FITS file
q0055_00061|00 58 06.951 -26 41 37.08|19.48|3.44|0.669  1|2  |speQ00_00061.fits|FITS file
q0055_00062|00 58 03.207 -26 41 37.49|19.38|4.98|     I-1|-  |speQ00_00062.fits|FITS file
q0055_00063|00 57 54.998 -26 41 38.89|19.11|2.94|0.423  1|2  |speQ00_00063.fits|FITS file
q0055_00064|00 58 01.532 -26 41 40.01|19.23|3.93|0.961  1|2  |speQ00_00064.fits|FITS file
q0055_00066|00 57 59.026 -26 41 41.46|19.65|3.09|0.764  1|2  |speQ00_00066.fits|FITS file
q0055_00068|00 57 54.282 -26 41 43.95|18.35|5.18|1.104  1|1  |speQ00_00068.fits|FITS file
q0055_00070|00 58 06.859 -26 41 44.19|18.35|3.39|0.413  1|1.5|speQ00_00070.fits|FITS file
q0055_00072|00 58 04.670 -26 41 44.98|19.36|3.66|0.989  1|2  |speQ00_00072.fits|FITS file
q0055_00075|00 57 53.982 -26 41 46.42|18.37|4.30|0.821  1|2  |speQ00_00075.fits|FITS file
q0055_00077|00 58 00.188 -26 41 49.14|19.84|4.79|     I-1|-  |speQ00_00077.fits|FITS file
q0055_00084|00 57 50.930 -26 41 53.86|19.06|2.33|0.298  1|2  |speQ00_00084.fits|FITS file
q0055_00085|00 57 59.496 -26 41 55.39|19.20|3.74|0.847  1|2  |speQ00_00085.fits|FITS file
q0055_00086|00 57 50.671 -26 41 56.21|19.93|3.72|     I-1|-  |speQ00_00086.fits|FITS file
q0055_00088|00 57 58.075 -26 41 59.09|19.23|2.85|0.646  1|2  |speQ00_00088.fits|FITS file
q0055_00092|00 57 57.036 -26 42 04.20|19.64|3.16|0.680  1|2  |speQ00_00092.fits|FITS file
q0055_00095|00 57 54.312 -26 42 10.42|19.84|2.83|0.558  1|2  |speQ00_00095.fits|FITS file
q0055_00096|00 57 58.936 -26 42 11.00|18.44|3.26|0.563  0|-  |speQ00_00096.fits|FITS file
q0055_00098|00 58 04.362 -26 42 11.07|19.39|3.89|     I-1|-  |speQ00_00098.fits|FITS file
q0055_00099|00 58 00.482 -26 42 11.70|18.06|4.08|0.649  1|2  |speQ00_00099.fits|FITS file
q0055_00101|00 58 03.299 -26 42 14.25|19.20|3.46|0.495  1|2  |speQ00_00101.fits|FITS file
q0055_00103|00 57 54.269 -26 42 17.12|18.22|5.60|0.996  1|3  |speQ00_00103.fits|FITS file
q0055_00106|00 58 05.378 -26 42 18.43|19.86|3.73|0.991  1|2  |speQ00_00106.fits|FITS file
q0055_00107|00 57 57.977 -26 42 19.87|17.87|4.02|0.620  1|1.5|speQ00_00107.fits|FITS file
q0055_00109|00 57 51.313 -26 42 21.38|18.75|5.49|1.240  0|-  |speQ00_00109.fits|FITS file
q0055_00110|00 58 01.447 -26 42 21.54|18.60|6.30|     I-1|-  |speQ00_00110.fits|FITS file
q0055_00111|00 58 01.272 -26 42 21.62|19.19|4.39|0.667  1|1  |speQ00_00111.fits|FITS file
q0055_00114|00 58 08.267 -26 42 24.21|19.15|4.33|0.889  1|1  |speQ00_00114.fits|FITS file
q0055_00117|00 57 56.174 -26 42 26.39|18.73|4.70|1.608  1|4  |speQ00_00117.fits|FITS file
q0055_00118|00 58 03.297 -26 42 26.45|19.59|5.71|1.440  1|1  |speQ00_00118.fits|FITS file
q0055_00119|00 58 00.336 -26 42 26.52|19.37|3.83|1.059  1|2  |speQ00_00119.fits|FITS file
q0055_00123|00 57 59.047 -26 42 29.32|18.12|4.84|0.927  1|1  |speQ00_00123.fits|FITS file
q0055_00124|00 58 08.386 -26 42 29.88|19.00|1.39|0.000  1|0  |speQ00_00124.fits|FITS file
q0055_00126|00 57 53.508 -26 42 33.00|19.27|2.73|0.598  1|2  |speQ00_00126.fits|FITS file
q0055_00127|00 57 51.272 -26 42 33.10|19.91|5.56|1.468  1|1.5|speQ00_00127.fits|FITS file
q0055_00128|00 57 53.868 -26 42 35.38|19.50|3.24|0.563  1|2  |speQ00_00128.fits|FITS file
q0055_00129|00 58 02.754 -26 42 35.25|18.73|4.22|0.666  1|1  |speQ00_00129.fits|FITS file
q0055_00131|00 57 59.393 -26 42 37.16|19.42|3.51|1.367  1|2  |speQ00_00131.fits|FITS file
q0055_00132|00 58 04.284 -26 42 37.42|18.83|4.24|0.667  1|1  |speQ00_00132.fits|FITS file
q0055_00134|00 57 57.225 -26 42 38.29|17.27|4.40|0.000  1|0  |speQ00_00134.fits|FITS file
q0055_00135|00 58 03.224 -26 42 38.01|18.28|2.41|0.356  1|2  |speQ00_00135.fits|FITS file
q0055_00136|00 58 07.497 -26 42 38.40|19.80|6.22|-      -|-  |                 |NOT OBSERVED
q0055_00138|00 57 58.048 -26 42 42.24|17.86|2.49|0.182  1|2  |speQ00_00138.fits|FITS file
q0055_00140|00 57 49.748 -26 42 42.00|19.32|3.48|0.580  1|2  |speQ00_00140.fits|FITS file
q0055_00142|00 57 56.434 -26 42 45.48|13.83|4.24|0.000  1|0  |speQ00_00142.fits|FITS file
q0055_00143|00 57 54.437 -26 42 43.93|17.10|4.29|0.669  1|1  |speQ00_00143.fits|FITS file
q0055_00146|00 58 00.185 -26 42 43.75|19.25|5.59|1.300  1|2  |speQ00_00146.fits|FITS file
q0055_00148|00 57 54.050 -26 42 45.59|18.83|4.16|0.670  1|1  |speQ00_00148.fits|FITS file
q0055_00150|00 58 03.899 -26 42 47.81|17.37|4.69|0.625  1|1.5|speQ00_00150.fits|FITS file
q0055_00151|00 57 54.354 -26 42 46.96|17.86|1.98|0.051  1|2  |speQ00_00151.fits|FITS file
q0055_00152|00 58 07.821 -26 42 50.49|18.61|5.52|1.419  0|-  |speQ00_00152.fits|FITS file
q0055_00153|00 58 07.037 -26 42 52.06|19.13|2.32|0.407  1|2  |speQ00_00153.fits|FITS file
q0055_00154|00 58 08.260 -26 42 52.04|18.54|4.13|0.664  1|1.5|speQ00_00154.fits|FITS file
q0055_00155|00 57 51.976 -26 42 53.38|17.88|4.26|0.647  0|-  |speQ00_00155.fits|FITS file
q0055_00157|00 58 07.790 -26 42 52.86|19.91|2.42|1.314  1|2  |speQ00_00157.fits|FITS file
q0055_00159|00 58 00.854 -26 42 55.38|18.52|4.26|0.564  1|1  |speQ00_00159.fits|FITS file
q0055_00160|00 57 58.246 -26 42 55.87|17.78|3.83|0.537  1|3  |speQ00_00160.fits|FITS file
q0055_00163|00 58 00.388 -26 42 58.00|16.91|4.28|0.565  1|1  |speQ00_00163.fits|FITS file
q0055_00166|00 57 56.626 -26 43 00.15|19.45|4.85|1.314  1|3  |speQ00_00166.fits|FITS file
q0055_00168|00 58 08.102 -26 42 59.60|19.50|3.29|0.934  1|2  |speQ00_00168.fits|FITS file
q0055_00169|00 58 02.730 -26 43 00.83|18.47|4.23|0.669  1|1  |speQ00_00169.fits|FITS file
q0055_00173|00 58 04.438 -26 43 04.77|19.60|2.91|0.624  1|2  |speQ00_00173.fits|FITS file
q0055_00184|00 57 59.389 -26 43 10.63|19.47|4.33|0.667  1|1  |speQ00_00184.fits|FITS file
q0055_00185|00 58 03.946 -26 43 11.72|19.55|3.23|0.412  1|2  |speQ00_00185.fits|FITS file
q0055_00188|00 58 06.541 -26 43 11.54|19.86|6.03|     I-1|-  |speQ00_00188.fits|FITS file
q0055_00189|00 57 52.931 -26 43 13.26|17.45|5.01|0.790  1|1  |speQ00_00189.fits|FITS file
q0055_00190|00 58 03.289 -26 43 12.60|19.08|3.96|0.666  1|1  |speQ00_00190.fits|FITS file
q0055_00191|00 57 57.990 -26 43 14.48|15.47|2.52|3.647  1|4  |speQ00_00191.fits|FITS file
q0055_00193|00 57 51.406 -26 43 14.21|19.31|3.62|0.000  1|0  |speQ00_00193.fits|FITS file
q0055_00195|00 58 03.169 -26 43 15.74|18.88|3.07|0.494  1|2  |speQ00_00195.fits|FITS file
q0055_00196|00 58 05.450 -26 43 15.06|18.38|1.11|0.000  1|0  |speQ00_00196.fits|FITS file
q0055_00200|00 57 50.970 -26 43 17.41|18.29|4.13|0.562  1|2  |speQ00_00200.fits|FITS file
q0055_00204|00 58 00.722 -26 43 19.92|18.04|4.62|0.671  1|2  |speQ00_00204.fits|FITS file
q0055_00207|00 58 03.907 -26 43 19.17|18.24|4.35|0.665  1|1  |speQ00_00207.fits|FITS file
q0055_00213|00 57 59.741 -26 43 26.22|19.41|4.81|1.059  0|-  |speQ00_00213.fits|FITS file
q0055_00215|00 57 49.091 -26 43 27.23|19.02|3.94|0.000  1|0  |speQ00_00215.fits|FITS file
q0055_00216|00 57 50.038 -26 43 27.43|19.81|2.57|0.233  1|2  |speQ00_00216.fits|FITS file
q0055_00217|00 58 01.232 -26 43 28.04|18.88|2.16|0.493  1|2  |speQ00_00217.fits|FITS file
q0055_00219|00 58 03.832 -26 43 28.39|19.94|3.25|0.842  1|2  |speQ00_00219.fits|FITS file
q0055_00221|00 58 00.335 -26 43 28.51|19.69|4.71|     I-1|-  |speQ00_00221.fits|FITS file
q0055_00222|00 58 05.956 -26 43 29.33|18.07|4.37|0.668  1|1  |speQ00_00222.fits|FITS file
q0055_00225|00 57 58.238 -26 43 31.80|18.74|4.31|0.666  1|1  |speQ00_00225.fits|FITS file
q0055_00226|00 57 53.691 -26 43 32.50|19.41|3.99|0.666  1|2  |speQ00_00226.fits|FITS file
q0055_00227|00 58 01.215 -26 43 32.37|19.16|4.02|0.667  1|2  |speQ00_00227.fits|FITS file
q0055_00229|00 58 02.859 -26 43 44.34|17.72|4.61|0.665  1|1  |speQ00_00229.fits|FITS file
q0055_00230|00 58 02.808 -26 43 37.00|15.99|4.55|0.668  1|1  |speQ00_00230.fits|FITS file
q0055_00231|00 58 02.507 -26 43 40.27|17.33|4.56|0.669  1|1  |speQ00_00231.fits|FITS file
q0055_00232|00 58 06.732 -26 43 34.59|18.49|4.15|0.898  1|2  |speQ00_00232.fits|FITS file
q0055_00233|00 58 06.900 -26 43 36.85|18.46|6.18|     I-1|-  |speQ00_00233.fits|FITS file
q0055_00236|00 58 08.327 -26 43 35.78|18.38|4.53|0.664  1|1.5|speQ00_00236.fits|FITS file
q0055_00238|00 57 50.029 -26 43 40.93|19.76|3.60|0.795  1|2  |speQ00_00238.fits|FITS file
q0055_00239|00 58 07.804 -26 43 41.22|18.15|4.30|0.665  1|2  |speQ00_00239.fits|FITS file
q0055_00240|00 58 03.981 -26 43 42.11|18.30|3.64|0.589  1|1.5|speQ00_00240.fits|FITS file
q0055_00241|00 57 58.267 -26 43 44.63|17.52|5.55|0.864  1|1.5|speQ00_00241.fits|FITS file
q0055_00243|00 58 00.324 -26 43 45.97|17.66|3.84|0.328  1|2  |speQ00_00243.fits|FITS file
